IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP31;IP_PROP32;IP_PROP33;IP_PROP34;IC_GROUP0;IC_GROUP1;IC_GROUP2
254;Подарок болельщику «Динамо»;523;Y;27.08.2014 19:14:52;;/upload/iblock/dd8/dd8bf03bc68c7cf27de837136585031e.jpg;"Подарок болельщику «Динамо».
Индивидуальный проект настенного календаря на двух пружинах с выборочным лаком всех полос, буклет-программа игр на сезон, хлопушка болельщика выполнена из мелованного картона, с параллельной перфорацией и вырубкой под ручки, бумажный пакет под календарь
";html;/upload/iblock/c6e/c6e584910dd998f635971f74a59f3c96.jpg;"Индивидуальный проект настенного календаря на двух пружинах с выборочным лаком всех полос, буклет-программа игр на сезон, хлопушка болельщика выполнена из мелованного картона, с параллельной перфорацией и вырубкой под ручки, бумажный пакет под календарь.
";html;dinamo-suv;500;;Подарок болельщику «Динамо»;Подарок болельщику «Динамо»;Подарок болельщику «Динамо»;;Печать на сувенирах;;
210;Диск к семинару FUKUSHIMA-NUCLEAR;479;Y;26.08.2014 15:21:32;;/upload/iblock/c79/c794dd0341e5ba3f8fc474cb07eac262.jpg;Диджипак для CD на два трея (4х полосный), глянцевая ламинация;html;/upload/iblock/426/426cc91a9e8fc2c63815f5b1417063f4.jpg;Диджипак для CD на два трея (4х полосный), глянцевая ламинация.;html;disk-k-seminaru-fukushima-nuclear;500;;ДИСК К СЕМИНАРУ FUKUSHIMA-NUCLEAR;ДИСК К СЕМИНАРУ FUKUSHIMA-NUCLEAR;ДИСК К СЕМИНАРУ FUKUSHIMA-NUCLEAR;/upload/iblock/5aa/5aaf334f7ec2483271fafb4e457f04a1.jpg;CD и DVD-продукция;;
207;Диск в конверте ПитерГаз;476;Y;26.08.2014 15:11:02;;/upload/iblock/b2a/b2adece21ded911bf09a1a62c0d97228.jpg;Печать на диске, картонный конверт, вырубка, склейка;html;/upload/iblock/7a9/7a936bb59c8f372cc5a06b8c8b198036.jpg;Печать на диске, картонный конверт, вырубка, склейка.;html;disk-v-konverte-pitergaz;500;;Диск в конверте ПитерГаз;Диск в конверте ПитерГаз;Диск в конверте ПитерГаз;/upload/iblock/115/11537ffdaa8865479e8ecad2678c7f28.jpg;CD и DVD-продукция;;
251;ВИП-подарок «Джекпот»;520;Y;27.08.2014 19:11:52;;/upload/iblock/9f9/9f9a07e7eb0a9526904019988552e61c.jpg;"ВИП-подарок «Джекпот».
Коньячный набор и ежедневником, упакованные в коробку «под дерево»
";html;/upload/iblock/727/7276a549b8e4d850e16a06504e2576df.jpg;"Коньячный набор и ежедневником, упакованные в коробку «под дерево».
";html;dzhekpot;500;;ВИП-подарок «Джекпот»;ВИП-подарок «Джекпот»;ВИП-подарок «Джекпот»;/upload/iblock/c94/c94f06c35c8105fc70cf22b41c61359a.jpg;Печать на сувенирах;;
264;Ежедневник ДжекПот;533;Y;17.09.2014 15:06:48;;/upload/iblock/2c4/2c454219382649bfaf5b7511b2feb806.jpg;Ежедневник для компании Джекпот, кожзам, индивидуальный блок, полноцветные вкладки.;html;/upload/iblock/419/419f37aea9aa280b34afe179aba699db.jpg;Ежедневник для компании Джекпот, кожзам, индивидуальный блок, полноцветные вкладки.;html;dzhekpot-ezhednevnik;500;;Ежедневник ДжекПот;Ежедневник ДжекПот;Ежедневник ДжекПот;/upload/iblock/6ce/6ce17b1360ba382de053944dda820f71.jpg;Ежедневники, планинги;;
220;Фирменный бланк Джон Тайнер;489;Y;26.08.2014 17:35:01;;/upload/iblock/601/6014b04cb948f4a4fa91c92580225c84.JPG;Фирменный бланк, бумага Conqueror Texture Laid CREAM, офсетная печать 2+0;html;/upload/iblock/dc1/dc19388f9bc8117a89e634498ddb17e4.JPG;Фирменный бланк, бумага Conqueror Texture Laid CREAM, офсетная печать 2+0.;html;dzhon-tayner;500;;Фирменный бланк Джон Тайнер;Фирменный бланк Джон Тайнер;Фирменный бланк Джон Тайнер;;Деловая полиграфия;Бланки;
245;Эко-подарок;514;Y;27.08.2014 18:52:32;;/upload/iblock/64f/64fb6c72c146803679b776b149ca61f6.jpg;"ЭКО-подарок.
Гофрированные упаковки для чая и конфет, а так же изготовление «под заказ»  туеска с логотипом
";html;/upload/iblock/194/1946c98e84c1d32c4f5598553bf2a6a5.jpg;"Гофрированные упаковки для чая и конфет, а так же изготовление «под заказ»  туеска с логотипом.
";html;eko-podarok;500;;Эко-подарок;Эко-подарок;Эко-подарок;;Печать на сувенирах;;
157;Электронный каталог выставки InterLogistika;438;Y;26.03.2014 13:15:17;;/upload/iblock/b31/b3177136d574db60d6f666076c3a36b4.jpg;Изготовление конвертов, глянцевая ламинация, вырубка окошка. Печать диска со сложной приладкой в цвет конверта ;html;/upload/iblock/228/228773e49ce83db8b1602d45e9e5cd6f.jpg;Изготовление конвертов, глянцевая ламинация, вырубка окошка. Печать диска со сложной приладкой в цвет конверта .;html;elektronnyy-katalog-vystavki-interlogistika;500;;Электронный каталог выставки InterLogistika;Электронный каталог выставки InterLogistika;Электронный каталог выставки InterLogistika;/upload/iblock/176/1763dce3a4245877b008aee6cfa02aed.jpg;CD и DVD-продукция;;
235;Визитки euroДом;504;Y;26.08.2014 18:42:39;;/upload/iblock/725/725df0c42993b46d51a114a2bf9a6bd9.jpg;Серая дизайнерская бумага, 240гр, цифровая печать;html;/upload/iblock/31b/31bc2f1b67b31cfd08fb56b56a39fee9.jpg;Серая дизайнерская бумага, 240гр, цифровая печать.;html;eurodom;500;;Визитки euroДом;Визитки euroДом;Визитки euroДом;;Деловая полиграфия;Визитки;
620;Ежедневник Единая Россия;620;Y;;;/upload/iblock/606/606ff8a35bc118ebf76e6c72784a01b4.jpg;Датированный ежедневник в твердом переплете, с индивидуальным блоком в 2 пантона и обложкой из кожзама и индивидуальной упаковкой из дизайнерского картона с тиснением фольгой;text;/upload/iblock/f61/f61a506063149f47d61efdfa6e5dea69.jpg;Датированный ежедневник в твердом переплете, с индивидуальным блоком в 2 пантона и обложкой из кожзама и индивидуальной упаковкой из дизайнерского картона с тиснением фольгой;text;ezhednevnik-edinaya-rossiya;500;;;;;/upload/iblock/b98/b985eec2e348d8eaa2a3a183c2487447.jpg;Ежедневники, планинги;;
620;Ежедневник Единая Россия;620;Y;;;/upload/iblock/606/606ff8a35bc118ebf76e6c72784a01b4.jpg;Датированный ежедневник в твердом переплете, с индивидуальным блоком в 2 пантона и обложкой из кожзама и индивидуальной упаковкой из дизайнерского картона с тиснением фольгой;text;/upload/iblock/f61/f61a506063149f47d61efdfa6e5dea69.jpg;Датированный ежедневник в твердом переплете, с индивидуальным блоком в 2 пантона и обложкой из кожзама и индивидуальной упаковкой из дизайнерского картона с тиснением фольгой;text;ezhednevnik-edinaya-rossiya;500;;;;;/upload/iblock/1c7/1c79aa033be81da866bfb6b1689a62eb.jpg;Ежедневники, планинги;;
621;Ежедневник Русское Море;621;Y;;;/upload/iblock/3bf/3bfeba2e2f7b60eac37a2c5f55932b7e.jpg;"Еженедельник Русское Море, датированный, индексная вырубка, двойное ляссе, стандартный блок, кремовая бумага.
Обложка 7Б, кожзам, многоуровневое бинтовое тиснение.";text;/upload/iblock/f59/f591968138ba2e4eefd0e6dc11033af5.jpg;"Еженедельник Русское Море, датированный, индексная вырубка, двойное ляссе, стандартный блок, кремовая бумага.
Обложка 7Б, кожзам, многоуровневое бинтовое тиснение.";text;ezhednevnik-russkoe-more;500;;;;;/upload/iblock/4cb/4cbd23544333b38f928e0a3f7357307a.jpg;Ежедневники, планинги;;
621;Ежедневник Русское Море;621;Y;;;/upload/iblock/3bf/3bfeba2e2f7b60eac37a2c5f55932b7e.jpg;"Еженедельник Русское Море, датированный, индексная вырубка, двойное ляссе, стандартный блок, кремовая бумага.
Обложка 7Б, кожзам, многоуровневое бинтовое тиснение.";text;/upload/iblock/f59/f591968138ba2e4eefd0e6dc11033af5.jpg;"Еженедельник Русское Море, датированный, индексная вырубка, двойное ляссе, стандартный блок, кремовая бумага.
Обложка 7Б, кожзам, многоуровневое бинтовое тиснение.";text;ezhednevnik-russkoe-more;500;;;;;/upload/iblock/3a3/3a37f11a8118f052669794928401a915.jpg;Ежедневники, планинги;;
638;Фирменная флэшка OLYMPUS;638;Y;;;/upload/iblock/bad/badf73bbd8d2c495031ed9a7133c5647.jpg;;text;/upload/iblock/de9/de9d5c43b27b2575be15aff40e9516ce.jpg;;text;firmennaja-fljeshka-olympus;500;;Фирменная флэшка OLYMPUS;Фирменная флэшка OLYMPUS;Фирменная флэшка OLYMPUS;;Печать на сувенирах;Печать на флешках;
